trade_id,symbol,fold,signal_timestamp,entry_timestamp,entry_price,bar_index,bar_timestamp,open,high,low,close,volume,is_final,gap_from_previous
5112f70152fb12bdbc5ad0ef,ETHUSDT,1,2025-04-16T02:55:00Z,2025-04-16T03:00:00Z,1597.64,1,2025-04-16T03:00:00Z,1597.64,1598.08,1596.28,1596.81,4715.266,True,False
5112f70152fb12bdbc5ad0ef,ETHUSDT,1,2025-04-16T02:55:00Z,2025-04-16T03:00:00Z,1597.64,2,2025-04-16T03:05:00Z,1596.81,1598.79,1595.6,1597.62,6239.628,True,False
5112f70152fb12bdbc5ad0ef,ETHUSDT,1,2025-04-16T02:55:00Z,2025-04-16T03:00:00Z,1597.64,3,2025-04-16T03:10:00Z,1597.61,1599.6,1597.25,1598.92,9253.197,True,False
5112f70152fb12bdbc5ad0ef,ETHUSDT,1,2025-04-16T02:55:00Z,2025-04-16T03:00:00Z,1597.64,4,2025-04-16T03:15:00Z,1598.92,1600.2,1598.0,1598.34,7336.313,True,False
5112f70152fb12bdbc5ad0ef,ETHUSDT,1,2025-04-16T02:55:00Z,2025-04-16T03:00:00Z,1597.64,5,2025-04-16T03:20:00Z,1598.35,1599.78,1597.63,1598.42,6516.849,True,False
5112f70152fb12bdbc5ad0ef,ETHUSDT,1,2025-04-16T02:55:00Z,2025-04-16T03:00:00Z,1597.64,6,2025-04-16T03:25:00Z,1598.41,1599.28,1594.64,1594.9,6269.873,True,False
5112f70152fb12bdbc5ad0ef,ETHUSDT,1,2025-04-16T02:55:00Z,2025-04-16T03:00:00Z,1597.64,7,2025-04-16T03:30:00Z,1594.91,1595.49,1592.18,1593.32,14184.532,True,False
5112f70152fb12bdbc5ad0ef,ETHUSDT,1,2025-04-16T02:55:00Z,2025-04-16T03:00:00Z,1597.64,8,2025-04-16T03:35:00Z,1593.33,1595.85,1593.15,1594.81,4042.662,True,False
5112f70152fb12bdbc5ad0ef,ETHUSDT,1,2025-04-16T02:55:00Z,2025-04-16T03:00:00Z,1597.64,9,2025-04-16T03:40:00Z,1594.8,1594.81,1592.0,1592.96,6658.954,True,False
5112f70152fb12bdbc5ad0ef,ETHUSDT,1,2025-04-16T02:55:00Z,2025-04-16T03:00:00Z,1597.64,10,2025-04-16T03:45:00Z,1592.96,1592.97,1590.0,1591.44,13076.511,True,False
5112f70152fb12bdbc5ad0ef,ETHUSDT,1,2025-04-16T02:55:00Z,2025-04-16T03:00:00Z,1597.64,11,2025-04-16T03:50:00Z,1591.43,1591.56,1588.12,1590.88,17385.183,True,False
5112f70152fb12bdbc5ad0ef,ETHUSDT,1,2025-04-16T02:55:00Z,2025-04-16T03:00:00Z,1597.64,12,2025-04-16T03:55:00Z,1590.87,1592.14,1590.02,1590.02,7277.473,True,False
d128ebe72fe730f106b770af,LINKUSDT,1,2025-04-16T08:55:00Z,2025-04-16T09:00:00Z,12.214,1,2025-04-16T09:00:00Z,12.214,12.227,12.195,12.203,54390.42,True,False
d128ebe72fe730f106b770af,LINKUSDT,1,2025-04-16T08:55:00Z,2025-04-16T09:00:00Z,12.214,2,2025-04-16T09:05:00Z,12.202,12.236,12.188,12.213,40016.75,True,False
d128ebe72fe730f106b770af,LINKUSDT,1,2025-04-16T08:55:00Z,2025-04-16T09:00:00Z,12.214,3,2025-04-16T09:10:00Z,12.213,12.222,12.186,12.199,47744.95,True,False
d128ebe72fe730f106b770af,LINKUSDT,1,2025-04-16T08:55:00Z,2025-04-16T09:00:00Z,12.214,4,2025-04-16T09:15:00Z,12.2,12.237,12.193,12.207,56366.32,True,False
d128ebe72fe730f106b770af,LINKUSDT,1,2025-04-16T08:55:00Z,2025-04-16T09:00:00Z,12.214,5,2025-04-16T09:20:00Z,12.209,12.221,12.191,12.198,49558.05,True,False
d128ebe72fe730f106b770af,LINKUSDT,1,2025-04-16T08:55:00Z,2025-04-16T09:00:00Z,12.214,6,2025-04-16T09:25:00Z,12.196,12.221,12.191,12.206,35104.28,True,False
d128ebe72fe730f106b770af,LINKUSDT,1,2025-04-16T08:55:00Z,2025-04-16T09:00:00Z,12.214,7,2025-04-16T09:30:00Z,12.206,12.215,12.18,12.186,39178.64,True,False
d128ebe72fe730f106b770af,LINKUSDT,1,2025-04-16T08:55:00Z,2025-04-16T09:00:00Z,12.214,8,2025-04-16T09:35:00Z,12.185,12.205,12.179,12.194,32339.13,True,False
d128ebe72fe730f106b770af,LINKUSDT,1,2025-04-16T08:55:00Z,2025-04-16T09:00:00Z,12.214,9,2025-04-16T09:40:00Z,12.194,12.197,12.159,12.164,37123.17,True,False
d128ebe72fe730f106b770af,LINKUSDT,1,2025-04-16T08:55:00Z,2025-04-16T09:00:00Z,12.214,10,2025-04-16T09:45:00Z,12.163,12.171,12.108,12.12,64064.42,True,False
d128ebe72fe730f106b770af,LINKUSDT,1,2025-04-16T08:55:00Z,2025-04-16T09:00:00Z,12.214,11,2025-04-16T09:50:00Z,12.12,12.135,12.113,12.132,32169.86,True,False
d128ebe72fe730f106b770af,LINKUSDT,1,2025-04-16T08:55:00Z,2025-04-16T09:00:00Z,12.214,12,2025-04-16T09:55:00Z,12.132,12.142,12.113,12.116,24914.89,True,False
0e07674e1888d347d6ec0ef9,ADAUSDT,1,2025-04-16T10:55:00Z,2025-04-16T11:00:00Z,0.6062,1,2025-04-16T11:00:00Z,0.6062,0.6064,0.605,0.6053,1316290.0,True,False
0e07674e1888d347d6ec0ef9,ADAUSDT,1,2025-04-16T10:55:00Z,2025-04-16T11:00:00Z,0.6062,2,2025-04-16T11:05:00Z,0.6053,0.6066,0.6045,0.6065,1057272.0,True,False
0e07674e1888d347d6ec0ef9,ADAUSDT,1,2025-04-16T10:55:00Z,2025-04-16T11:00:00Z,0.6062,3,2025-04-16T11:10:00Z,0.6064,0.6074,0.606,0.6064,976762.0,True,False
0e07674e1888d347d6ec0ef9,ADAUSDT,1,2025-04-16T10:55:00Z,2025-04-16T11:00:00Z,0.6062,4,2025-04-16T11:15:00Z,0.6065,0.6074,0.6057,0.6072,977040.0,True,False
0e07674e1888d347d6ec0ef9,ADAUSDT,1,2025-04-16T10:55:00Z,2025-04-16T11:00:00Z,0.6062,5,2025-04-16T11:20:00Z,0.6072,0.6073,0.6048,0.6048,1005059.0,True,False
0e07674e1888d347d6ec0ef9,ADAUSDT,1,2025-04-16T10:55:00Z,2025-04-16T11:00:00Z,0.6062,6,2025-04-16T11:25:00Z,0.6049,0.6049,0.6039,0.6041,1271759.0,True,False
0e07674e1888d347d6ec0ef9,ADAUSDT,1,2025-04-16T10:55:00Z,2025-04-16T11:00:00Z,0.6062,7,2025-04-16T11:30:00Z,0.6041,0.6046,0.6036,0.6037,569607.0,True,False
0e07674e1888d347d6ec0ef9,ADAUSDT,1,2025-04-16T10:55:00Z,2025-04-16T11:00:00Z,0.6062,8,2025-04-16T11:35:00Z,0.6038,0.6044,0.6034,0.6042,1473686.0,True,False
0e07674e1888d347d6ec0ef9,ADAUSDT,1,2025-04-16T10:55:00Z,2025-04-16T11:00:00Z,0.6062,9,2025-04-16T11:40:00Z,0.6041,0.6067,0.6041,0.6058,1912019.0,True,False
