evidence_id,repository,path,commit,commit_date_utc,author,blob_or_file_sha256,lines_or_symbol,classification,material_finding
TS_CONFIG_PHASE_O,TypeScript,regime_config.live.yaml,22937cbd9a44d978a4e7d51611aea4a312916712,2026-06-01T22:57:27Z,Jasan Hernandez,9c2a5bb2e72bd2d3f963f62e116ec0162e360d7d2e23adecaed80aa2679d02db,"41-52; 63-100; 525-584",HISTORICALLY_CONFIGURED,"AEGIS_TURBO froze stop -0.40 ROE, TP 0.50 ROE, BE 0.08 ROE, trailing activation 0.15 ROE, callback 0.08, 8h conditional duration, profit protection and ExitEye."
TS_CONFIG_LAST_PRE_D1A,TypeScript,regime_config.live.yaml,7f47abd216e7ac419e3d54006ce945bafcc83d90,2026-06-07T03:12:22Z,Jasan Hernandez,4767cd424af055edb2c5b797a6ab47fa86391fc5b08e3f28a03c06730d5ef7b5,"41-52; 63-111",HISTORICALLY_CONFIGURED,"Last Phase O-tagged pre-D1A revision; exit config blob is identical to 71742af."
TS_PROFIT_GUARDIAN,TypeScript,src/domain/services/ProfitGuardian.ts,22937cbd9a44d978a4e7d51611aea4a312916712,2026-06-01T22:57:27Z,Jasan Hernandez,b362c2939238ead4d5708e3a49ceb12e6b2fa9666e07b1a88eec8dd7faea4932,"evaluateGuardianAction lines 47-164",HISTORICALLY_CONFIGURED,"Defines SHORT ROE, peak activation, ATR trailing, exact peak-ROE callback fallback, break-even and monotonic stop tightening."
TS_EXIT_EYE,TypeScript,src/domain/services/AegisExitEye.ts,22937cbd9a44d978a4e7d51611aea4a312916712,2026-06-01T22:57:27Z,Jasan Hernandez,79dc5fafac7c0aa493e1696281318467cec0486544a4588678678504cd36abc4,"evaluateAegisExitEye lines 122-234",HISTORICALLY_CONFIGURED,"Defines profitable opposite-signal close and neutral-decay profit protection/close using absolute ROE giveback."
TS_TRADING_SERVICE,TypeScript,src/app/services/TradingService.ts,22937cbd9a44d978a4e7d51611aea4a312916712,2026-06-01T22:57:27Z,Jasan Hernandez,b6954fb1ba68804c8888b330391ce72788b74f923cb62f68268b605e489f725a,"2834-3347; 3442-3664; 3774-3841",HISTORICALLY_CONFIGURED,"Wires ExitEye, 8h profitable timeout, ATR(14), guardian, full-position stop moves, bracket recreation and exact ROE-to-price conversion."
TS_CONFIG_LOADER,TypeScript,src/infra/config/ConfigLoader.ts,22937cbd9a44d978a4e7d51611aea4a312916712,2026-06-01T22:57:27Z,Jasan Hernandez,48d37849e51e6759b087a0a4720acb22ff59cb04e446260562138c463cd90475,"getGuardianConfig lines 828-855; getRegimeConfig lines 1300-1330",HISTORICALLY_CONFIGURED,"Establishes YAML precedence, 0.003 BE offset and ATR multiplier 1.5."
LIVE_SHORT_ENTRY,TypeScript local evidence,logs/aegis/turbo_trades_2026-06-01.jsonl,NOT_GIT_TRACKED,2026-06-01T17:09:54Z,runtime,04e82260a9520922622cb163b6148077f292adb8c28176a8e578ea765d6e4dad,"line 1 trade AEGIS-TURBO-XRPUSDT-20260601-170949-956",HISTORICALLY_EXECUTED,"Real SHORT entry recorded leverage 10, stop -0.40, TP 0.50, activation 0.15, callback 0.08 and confirmed brackets."
LIVE_BREAK_EVEN_EVENT,TypeScript local evidence,logs/aegis/turbo_trade_events_2026-06-01.jsonl,NOT_GIT_TRACKED,2026-06-01T22:22:23Z,runtime,398a9024438132bce4b0865ce0d8708d6e86066aa1e7e0a592097641fcfa7264,"line 490498",HISTORICALLY_EXECUTED,"AEGIS_TURBO moved a live stop from 676.14 to 692.01 after the 0.08 ROE break-even trigger."
LIVE_TRAILING_EVENT,TypeScript local evidence,logs/aegis/turbo_trade_events_2026-06-01.jsonl,NOT_GIT_TRACKED,2026-06-01T22:49:33Z,runtime,398a9024438132bce4b0865ce0d8708d6e86066aa1e7e0a592097641fcfa7264,"line 493670",HISTORICALLY_EXECUTED,"AEGIS_TURBO emitted TRAILING_ACTIVATED at peak ROE 0.1553277415."
LIVE_EXIT_EYE_EVENT,TypeScript local evidence,logs/aegis/turbo_trade_events_2026-06-01.jsonl,NOT_GIT_TRACKED,2026-06-01T22:49:09Z,runtime,398a9024438132bce4b0865ce0d8708d6e86066aa1e7e0a592097641fcfa7264,"lines 493551 and 495405",HISTORICALLY_EXECUTED,"AEGIS_TURBO executed full-position profitable closes from opposite ExitEye signals."
PY_TURBO_CONFIG,Python,aegis_alpha/configs/turbo.yaml,d7b6763c2999e29701db38b0e2a3bdf0de1466ee,2026-06-02T02:14:58Z,Jasan Hernandez,4fff62a809191e4964fb4d45821b237bd2332586a8e2fe0beb18fbcc3cd1b4e9,"exits block",EXPERIMENTAL_OR_ABANDONED,"Python carried -15/25/15/8 exit fields, but later consumer tracing proved they did not control real brackets."
PY_DEAD_EXITS_REMOVAL,Python,aegis_alpha/configs/turbo.yaml,4aeb603a12f390cacf070cd33542791476e37bdf,2026-07-17T01:58:42Z,Jasan Hernandez,822456cc116b88acbacf80b81de9ce5156256cbccb133dd34d2ecb38f5c8ef14,"commit message and removed exits block",EXPERIMENTAL_OR_ABANDONED,"Pre-D1A audit removed Python exits as dead weight and named TS regime_config.live.yaml as the real bracket authority."
PHASE_O_OVERLAY,Python,aegis_alpha/turbo/phase_o_overlay.py,d7b6763c2999e29701db38b0e2a3bdf0de1466ee,2026-06-02T02:14:58Z,Jasan Hernandez,ca24bcab10cd3aec6eb235f09d60b291135a0e1d8924a9a2f7eaa995e3c4f2e6,"module",HISTORICALLY_CONFIGURED,"Phase O overlay binds entry symbols/models but defines no exit policy; exits are inherited from TypeScript."
